...1,Word,Context,Spacy POS,Length,count
448,number,number number haha,NN,6,383787805
449,damn,damn damn haha the day kills of,RB,4,11016467
450,car,car car,NN,3,264720374
451,here,leave to leave here here,RB,4,639711198
452,walk,walk walk,VB,4,39129365
453,long,i was soon relieved of my position where i have a long long forest of tendencies to tell the truth... in a country where they never say what they need.,RB,4,252519588
454,away,"it' s a crime share it fairly, but don' t take a slice of my pie money, so they say is the root of all evil today but if you ask for a raise it' s no surprise they' re giving none away away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away... away...",RB,4,112837472
455,wait,"wait wait, captain.",VB,4,39001376
456,then,then then only thing you need to learn is to obey!,RB,4,369928941
457,sing,released from sing sing prison friday.,VB,4,11114001
458,far,that i' il save her from whatever she' s scared of and take her far far away,RB,3,93061804
459,very,"that is either the best of wives, or the very very worst.",RB,4,334923368
460,coastal,i guess a little a few little in coastal coastal area.,JJ,7,14153912
461,sing,two hundred souls passed through this wood and steel at sing sing.,VB,4,11114001
462,far,that i' il save her from whatever she' s scared of and take her far far away.,RB,3,93061804
463,sing,two hundred souls passed through this wood and steel at sing sing.,VB,4,11114001
464,pathetic,you' re pathetic pathetic,JJ,8,1892242
465,far,that i' il save her from whatever she' s scared of and take her far far away,RB,3,93061804
466,fix,they fix fix me a pretty decent steak for my last meal,VB,3,32334055
467,pathetic,you' re pathetic pathetic,JJ,8,1892242
468,easy,easy easy...,JJ,4,125548527
469,hula,"so where are all the surfers and hula hula dancers, smart guy?",NN,4,921011
470,shame,shame shame,NN,5,6785296
471,tin,"- fuck you, tin tin.",NN,3,10695557
472,tin,"oh, what is this, tin tin?",NN,3,10695557
473,tin,it was pawned here a year ago by a customer of yours named tin tin.,NN,3,10695557
474,tin,"that' s tin tin, one of t- bird' s little helpers.",NN,3,10695557
475,tin,now you' re going to tell me where to find... the rest of tin tin' s little party pals.,NN,3,10695557
476,tin,you' re the guy that murdered tin tin.,NN,3,10695557
477,tin,- tin tin.,NN,3,10695557
478,tin,"gentlemen, by all means, i think we ought to have... an introspective moment of silence for poor, old tin tin.",NN,3,10695557
479,tin,that piece of ratshit made tin tin into a fuckin 'voodoo doll!,NN,3,10695557
480,tin,tin tin was a dick.,NN,3,10695557
481,tin,tin tin.,NN,3,10695557
482,tin,you did tin tin.,NN,3,10695557
483,brother,he' s your brother brother?,NN,7,34273892
484,time,it' s good- time time.,NN,4,908705570
485,high,we gonna get a high high.,JJ,4,345413157
486,rrr,rrr rrr!,NN,3,877113
487,squeak,squeak squeak!,NN,6,871207
488,rrr,rrr rrr!,NN,3,877113
489,again,we' re hit again again!,RB,5,150781416
490,fire,"it all seems so long ago young and happy don' t you know down by the creek i would show fireflies to that girl but that was back when he was nice before my warm heart turned to ice my sister' s wig once had lice but that was long ago the schoolyard' s where we were the first time i kissed her he thought he got some tongue but it was only retainer eleanore' s bra is a trainer well, over there' s my family home and the woods we used to roam the only time i had sex was on the phone but that was long ago i carved our names upon that tree i loved him and he loved me my darling wife was once a he but that was long ago he' d always whisper in my ear but then i started drinking beer my jewels got licked by six frisky deer now he' s just a loner and a liar and my trailer' s caught on fire fire?!",NN,4,83845349
491,sorry,sorry. sorry sorry,JJ,5,35595812
492,abra,hockety pockety wockety whack abra abra dabra nack,VB,4,437363
493,wait,"wait wait, you can' t...",VB,4,39001376
494,wait,"wait wait, i' m not part of this!",VB,4,39001376
495,look,look look,VB,4,173043002
496,whoa,- workin 'at the car wash - whoa whoa yeah yeah,NN,4,1286431
497,tut,"now, tut tut.",JJ,3,945899
498,whoa,- # workin 'at the car wash - # whoa whoa yeah yeah,NN,4,1286431
499,now,"now now there sissyboy, don' t cry you little animal tormentor",RB,3,611387736
500,square,left circle double left square right to the down square square.,JJ,6,44784448
501,very,and the price is... very very low.,RB,4,334923368
502,whoa,- workin 'at the car wash - whoa whoa yeah yeah,NN,4,1286431
503,really,- really really.,RB,6,162033390
504,really,- really really.,RB,6,162033390
505,toot,toot toot!,VB,4,335690
506,really,"listen, you were really really something, back there.",RB,6,162033390
507,really,- really really.,RB,6,162033390
508,far,batch leeret number one is a mostly abuse shading from a kindom far far away.,RB,3,93061804
509,really,- really really.,RB,6,162033390
510,really,really really.,RB,6,162033390
511,there,come on please be there there it is just like randall said,RB,5,701170205
512,very,very very far!,RB,4,334923368
513,very,very very far!,RB,4,334923368
514,doot,hoo doot doo doot doot doo doot,NN,4,52085
515,doot,* hoo doot doo doot doot doo doot *,NN,4,52085
516,ever,don' t you ever ever do this again!,RB,4,100264634
517,hunka,"a super- duper, extra- looper, hunka hunka heffatrap.",NN,5,38692
518,sugar,# sugar sugar,NN,5,22450333
519,not,"i meant, no, i do not not wish to be married.",RB,3,2633487141
520,here,the bride is here here comes the bride,RB,4,639711198
521,not,"i meant, no, i do not not wish to be married.",RB,3,2633487141
522,here,the bride is here here comes the bride,RB,4,639711198
523,not,"i meant, no, i do not not wish to be married.",RB,3,2633487141
524,here,the bride is here here comes the bride,RB,4,639711198
525,not,"i meant, no, i do not not wish to be married.",RB,3,2633487141
526,here,the bride is here here comes the bride,RB,4,639711198
527,many,many many friends,JJ,4,318966441
528,many,many many friends,JJ,4,318966441
529,new,by the power vested in me by the state of new new york,JJ,3,1551258643
530,deadly,it don' t take more than deadly deadly bees to keep us from doing our job.,JJ,6,5740299
531,deadly,it' il take more than a few deadly deadly bees to... »,JJ,6,5740299
532,boo,that' s a boo boo tops!,NN,3,2884230
533,late,it' s the late late show with craig kilborn.,RB,4,65574606
534,hip,hip hip!,NN,3,26826008
535,hip,- hip hip!,NN,3,26826008
536,hip,hip hip!,NN,3,26826008
537,else,anybody else else?,RB,4,96020036
538,cluck,"* cluck cluck, said the little red hen let' s boogie in the barnyard *",NN,5,134048
539,circus,"well, that' s a change of pace... our accidental tourist took his family backstage at circus circus.",NN,6,5377139
540,circus,backstage at circus circus.,NN,6,5377139
541,wild,- i got a wild wild life - don' tyou ever stop?,JJ,4,39937252
542,widow,"i mean, i' ve always been a black widow... but now i' m a black widow widow.",NN,5,3804620
